int	string	string[]	int	int[]	int[][]	int[][]	int	int	int	int	int	int[][]	int[]	enum.EMechaRepetitionLimitMode	int	enum.ESpawnType	int[][]	int[][]	int	string	int	int	int	bool	int	bool	int	int	bool	int[]	int	bool	int	int	string	bool	string	int	int	int[]	bool	bool	int[][]	int[]	int	int[]	bool	int	int[]	int[]	int	bool	bool	bool	string	int	int	int	bool
11	提拉桑运输线-单车版	LongDistanceTrain	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	54,55,56,57,58,59|48,49,50,51,52,53		40	1994/4/12,2022/4/12	1101	1	10	False	-1	False	3	9	True		0	True	3	10007	15分钟	False	“破界者”被分为进攻方及防守方。进攻方须在装甲运载车抵达终点站前，将其拦截摧毁；防守方则必须阻止进攻方摧毁运载车。	14009	40	10001,10002,10003,10004,10005,10009,10012	False	True	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		True	90002	1,11	1,1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
12	核心运输安置模式	CoreSettle	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	16,17,18,19,20,21|71,72,73,74,75,76		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
13	布朗角天文台-白盒	FallBattle	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	26,27,28,29,30,31|32,33,34,35,36,37		40	1994/4/12,2022/4/12	1101	1	11	False	-1	False	3	9	True		0	True	3	10008		False	“破界者”须尽可能多地拆除投放于该区域的干扰装置，确保区域设施正常运行。率先完成拆除，解除干扰，或在区域关闭时处于领先地位，即可获得设施掌控权。	14010	50	10001,10002,10003,10004,10005,10009,10012	False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
14	列车破译战	DecypherTrain	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	54,55,56,57,58,59|48,49,50,51,52,53		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002	15分钟	False	“破界者”被分为进攻方及防守方。进攻方须在装甲运载车抵达终点站前，将其拦截摧毁；防守方则必须阻止进攻方摧毁运载车。	14001	0		False	True	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
15	水星造船厂	ShipyardMap	1	1,1	1|2|3	1|2	1	0	0	1	1	1,2		1	2	1	1,2,3,4,5,6|11,12,13,14,15,16		40	1994/4/12,2022/4/12	1101	1	9	False	-1	False	3	9	True	115,-180	20	True	3	10006	12分钟	False	参战小队须沿路径护卫己方的C脑运输车前往交接点，激活途中的三处控制台可助其快速行进，运输车率先到达交接点的一方即算完成任务。	14007	30	10001,10002,10003,10004,10005,10009,10012	False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	360	90	5	
16	LOD0机甲性能测试	LOD0MechaTest	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15	1	0	0	1	1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15		1	2	1	1|2|3|4|17|18|19|20|21|23|24|25|26|40|41		40	1994/4/12,2022/4/12	1101	1	2	True	-1	False	3	9	True		0	True	3	10002		False		14001	0		True	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
17	竞技场AI压测旧	Scene_AI_Pressuretest_Old	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10001,10002,10003,10004,10005,10012	1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True	338,-12	24	True	3	10002	6分钟	False	两方阵营各3名“破界者”进入虚拟对战，率先达成10次击坠数，或在作战结束时处于领先地位的一方即可获胜。作战结束时，双方击坠数相同则进入加时阶段。在此阶段，率先达成2次击坠数的一方即可获胜。	14001	10	10001,10002,10003,10004,10005,10009,10012	False	False	10001,10012|100020,100030|100050,10004|10012,10001|100030,100020|10004,100050	3,6	1		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
18	竞技场AI压测新	Scene_AI_Pressuretest_New	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10001,10002,10003,10004,10009,10012	1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True	338,-12	24	True	3	10002	6分钟	False	两方阵营各3名“破界者”进入虚拟对战，率先达成10次击坠数，或在作战结束时处于领先地位的一方即可获胜。作战结束时，双方击坠数相同则进入加时阶段。在此阶段，率先达成2次击坠数的一方即可获胜。	14001	10	10001,10002,10003,10004,10005,10009,10012	False	False	10100,11200|10200,10300|10900,10400|11200,10100|10300,10200|10400,10900	3,6	1		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
19	布朗角天文台	Art_FallBattle	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	26,27,28,29,30,31|32,33,34,35,36,37		40	1994/4/12,2022/4/12	1101	1	11	False	-1	False	3	9	True		0	True	3	10008		False	“破界者”须尽可能多地拆除投放于该区域的干扰装置，确保区域设施正常运行。率先完成拆除，解除干扰，或在区域关闭时处于领先地位，即可获得设施掌控权。	14010	50	10001,10002,10003,10004,10005,10009,10012	False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	360	90	5	
20	柯斯托克兵工厂	OneLineTowers	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7,4,6,11|8,9,10,12,13,14		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002	6分钟	False		14009	40		False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
21	堡垒	Fortress	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	8,9,10,11,12,13|14,15,16,17,18,19		40	1994/4/12,2022/4/12	1101	1	11	False	-1	False	3	9	True		0	True	3	10008		False	“破界者”须尽可能多地拆除投放于该区域的干扰装置，确保区域设施正常运行。率先完成拆除，解除干扰，或在区域关闭时处于领先地位，即可获得设施掌控权。	14010	50	10001,10002,10003,10004,10009,10012	False	True	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
22	美术天气原型	ArtWeather	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1,2|3,4		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
23	奥坦提斯工业区	3v3Factory	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		5	True	15	10011	6分钟	False	3对3击坠数更多或率先击坠对方机甲10次的一方获胜。双方同分则进入加时阶段，率先击坠对方机甲2次即判定胜利。	14001	0		False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	360	90	5	
24	提拉桑运输线4K测试	LongDistanceTrain_4K	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10001,10002,10003,10004,10005,10007,10009,10012	1	2	1	54,55,56,57,58,59|48,49,50,51,52,53		40	1994/4/12,2022/4/12	1101	1	10	False	-1	False	3	9	True		0	True	3	10007	15分钟	False	“破界者”被分为进攻方及防守方。进攻方须在装甲运载车抵达终点站前，将其拦截摧毁；防守方则必须阻止进攻方摧毁运载车。	14009	40	10001,10002,10003,10004,10009,10012	False	True	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
25	提拉桑运输线	DoubleLongTrain	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10001,10002,10003,10004,10005,10007,10009,10012	1	2	1	54,55,56,57,58,59|48,49,50,51,52,53		40	1994/4/12,2022/4/12	1101	1	10	False	-1	False	3	9	True		0	True	3	10007	15分钟	False	“破界者”被分为进攻方及防守方。进攻方须在装甲运载车抵达终点站前，将其拦截摧毁；防守方则必须阻止进攻方摧毁运载车。	14009	40	10001,10002,10003,10004,10009,10012	False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		True	90002	1,11	0,1	3	False	False	False	Vedio/cairoTeaching.mp4	360	90	5	
26	三角龙教学关卡	M4Teaching	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10004	1	2	1	1|2		40	1994/4/12,2022/4/12	1101	3	0	True	0	False	3	9	False		0	True	3	10002		True		14001	0		False	False			0		True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
27	龙渊教学关	M3Teaching	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10003	1	2	1	1|2		40	1994/4/12,2022/4/12	1101	3	0	True	0	False	3	9	False		0	True	3	10002		True		14001	0		False	False			0		True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
28	矛隼教学关	M1Teaching	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10001	1	2	1	1|2		40	1994/4/12,2022/4/12	1101	3	0	True	0	False	3	9	False		0	True	3	10002		True		14001	0		False	False			0		True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
29	美术布朗角植被性能对比1	Art_FallBattle_Test01	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	26,27,28,29,30,31|32,33,34,35,36,37		40	1994/4/12,2022/4/12	1101	1	11	False	-1	False	3	9	True		0	True	3	10008		False	“破界者”须尽可能多地拆除投放于该区域的干扰装置，确保区域设施正常运行。率先完成拆除，解除干扰，或在区域关闭时处于领先地位，即可获得设施掌控权。	14010	50		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
30	美术布朗角植被性能对比2	Art_FallBattle_Test02	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	26,27,28,29,30,31|32,33,34,35,36,37		40	1994/4/12,2022/4/12	1101	1	11	False	-1	False	3	9	True		0	True	3	10008		False	“破界者”须尽可能多地拆除投放于该区域的干扰装置，确保区域设施正常运行。率先完成拆除，解除干扰，或在区域关闭时处于领先地位，即可获得设施掌控权。	14010	50		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
31	美术布朗角植被性能对比3	Art_FallBattle_Test03	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	26,27,28,29,30,31|32,33,34,35,36,37		40	1994/4/12,2022/4/12	1101	1	11	False	-1	False	3	9	True		0	True	3	10008		False	“破界者”须尽可能多地拆除投放于该区域的干扰装置，确保区域设施正常运行。率先完成拆除，解除干扰，或在区域关闭时处于领先地位，即可获得设施掌控权。	14010	50		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
32	克拉奥布天坑	DiePlayMode1	1	1,1	1|2|3	1|2	1	0	0	1	1	1,2		1	2	1	1,2,3,4,5,6|11,12,13,14,15,16		40	1994/4/12,2022/4/12	1101	1	8	False	-1	False	3	9	True		20	True	3	10005	12分钟	False	“破界者”须依次争夺并守住三处实验据点，以回收研究数据。率先完成数据回收，或在区域关闭时处于领先地位，即可破解防御系统，获得区域掌控权。	14008	30	10001,10002,10003,10004,10005,10009,10012	False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	360	90	5	
33	密斯之眼测RVT效率	Art_Cairo_RVT	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10001,10002,10003,10004,10005,10007,10009,10012	1	2	1	20,21,23,24,25,26|2,40,41,17,18,19		40	1994/4/12,2022/4/12	1101	1	2	False	-1	False	3	9	True	-126,-301	3	True	3	10001	15分钟	False	“破界者”须从三处EIC设施获取密钥，并将密钥转运至中央矿井。率先完成运输，或在区域关闭时处于领先地位，即可获得中央矿井控制权。	14004	20	10001,10002,10003,10004,10005,10009,10012	False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10300|10401|10501|10901|11201|10102|10202|10300|10402|10502|10902|11202	2,5	2	10005	True	90001	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
34	埃尔梅克边哨	3v3Mountain	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		5	True	15	10002	6分钟	False	3对3击坠数更多或率先击坠对方机甲10次的一方获胜。双方同分则进入加时阶段，率先击坠对方机甲2次即判定胜利。	14001	0		False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
110	main	main	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1,2|3,4		3	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	True	True	True	Vedio/cairoTeaching.mp4	0	0	0	
112	艾特纳烟谷(破碎专用)	canyon	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	28,32,33,37,38,39|34,35,36,40,41,42		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
114	基础战斗-验证白盒	PVPTest_New	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	10,11,12,13,14,15|16,17,18,19,20,21		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
120	虚拟对战3V3	GKCS	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10001,10002,10003,10004,10005,10007,10009,10012	1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True	338,-12	24	True	3	10002	6分钟	False	两方阵营各3名“破界者”进入虚拟对战，率先达成10次击坠数，或在作战结束时处于领先地位的一方即可获胜。作战结束时，双方击坠数相同则进入加时阶段。在此阶段，率先达成2次击坠数的一方即可获胜。	14001	10	10001,10002,10003,10004,10005,10009,10012	False	False	10100|10200|10300|10400|10500|10700|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		True	90003	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	360	90	5	
121	虚拟对战3V3_灯光测试	GKCS_DG	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1|2		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
122	3V3地形设计	GKCS_2	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
123	3V3占点测试	GKCS_HotSpot	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
124	3V3空投宝石测试	GKCS_HotSpot_2	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
125	3V3宝石测试	GKCS_Mine	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	4	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
126	6V6宝石测试	GKCS_Mine_12player	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,3,4,5,6|11,12,13,14,15,16		40	1994/4/12,2022/4/12	1101	0	5	False	-1	False	3	9	False		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
127	竞技场_A 地图2	GKCS_3v3	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
130	虚拟训练	TrainingDemo	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	1|2		300	1994/4/12,2022/4/12	1101	2	0	True	0	False	3	9	False		0	True	3	10003	60分钟	True	单人训练模式。“破界者”可以在训练中熟悉不同的机体和它们的武装。	14003	0		True	False			0		False	90002	11	1	3	True	True	True	Vedio/cairoTeaching.mp4	0	0	0	
140	教学关卡测试1	TeachingTest1	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10004	1	2	1	1|2		40	1994/4/12,2022/4/12	1101	3	0	True	0	False	3	9	False		0	True	3	10002		True		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
